KMA5377,Mini Cooper 1.3,Marrom
KHN9230,Lancer Evolut. IX MR 2.0 290cv TB-IC,Preto
KJJ5910,207 XR Sport 1.4 Flex 8V 5p,Marrom
KLF0977,Buggy 1.6 2-Lug.,Verde
KJR1768,Buggy VII/VII BIG,Vermelho
KHW6338,AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel,Marrom
KHG9445,Fiesta TITANIUM 1.6 16V Flex Mec.,Vermelho
KHW5535,430 2.0 V6,Cinza
KHA0182,Integra GS 1.8,Verde
KFN7727,T-4 4x4 3.0 TB Int. Cap. R,Azul
KKE1021,T5 1.5 JET Flex 16V 5p Mec.,Dourado
KLB5700,AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel,Laranja
KKD8102,Coupe FX 2.7 V6 24V 180cv Aut.,Dourado
KKC4696,Family 1.0 8V 53cv (Perua),Cinza
KGH3627,Buggy VII/VII BIG,Azul
KID4065,J6 2.0 JET Flex 5p Mec.,Amarelo
KKK7195,Trans-AM 5.7 V8,Verde
KKF9344,Defender 90 Soft Top Diesel,Bege
KHN0527,L200 Triton OUTDOOR 2.4 Flex 16V CD Mec.,Azul
KMB9894,fortwo passion coup,Cinza
JYR-9046,SY6390 A9 PVANS,Prata
HQW-5883,LOGAN Dyna. EasyR Hi-Flex 1.6 8V Aut.,Amarelo
MPR-0153,Vectra Comfort 2.0 MPFI,Bege
MGR-8435,SUV 2.2 4x4 (diesel) Mec.,Preto
KCA-2084,Sc,Laranja
DQK-3156,Freelander HSE3 2.5 V6 24V 177cv 3p,Cinza
AAN-6399,Towner Jr. Pick-up 1.0 8V 48cv  CS 2p,Dourado
JUV-2095,Applause DLX 1.6 16V,Preto
EEN-3530,Buggy 2000W 1.6 8V,Bege
KAO-7319,VKN VAN 2.0 16V 4p,Bege
MSW-9664,Korando 2.0 16V T.Diesel AWD Aut.,Verde
BJV-1545,156 Sport Wagon 2.0 16V,Dourado
AKW-9712,Javali 3.0 4x4 Diesel,Laranja
JQO-2586,Astra 2.0/ CD/ Sunny/ GLS 2.0 8V 3p,Laranja
MPR-8953,Buggy 1.6 2-Lug.,Azul
NDZ-7430,Vantage Coupe 4.7 V8 425cv,Vermelho
NEL-8303,NX-200t Luxury 2.0 16V 238cv Aut.,Dourado
MZT-1329,AUMARK 3.5 - 11ST 2.8 4x2 TB Diesel,Dourado
LVG-4013,LS-460L 4.6 V8 32v 347cv Aut.,Marrom
KLB-7307,SANDERO Expres EasyR Hi-Flex 1.6 8V,Vermelho
MZO-7525,Space Wagon GLXi 2.4 ( Nova S,Laranja
NFA-4942,Vitara JLX Canvas 1.6 8V 2p,Verde
NBQ-3263,MARRU,Cinza
MVZ-2876,Ghibli S Q4 3.0 V6 410cv Aut.,Amarelo
MNH-3721,Buggy  Walk Sport 1.6 8V 58cv,Dourado
HRH-5779,Cargo CE 1.0 8V 53cv (Pick-Up),Vermelho
MZQ-2355,QQ 1.1/1.0 12V 69cv 5p,Cinza
HPU-0885,Rodeo 3.2 V6,Preto
JBT-9954,Carajas/ Tocantis/ Xavante/ Vip,Amarelo
MPZ-0549,fortwo coup,Azul
AFM-1378,850 T-5 SW 2.5 BI-Turbo/ 2.3 Turbo,Amarelo
AWY-6805,Carajas Diesel,Azul
HZG-6535,Musso GL 2.9 TB Diesel Int. 120cv,Preto
NEB-5479,626 Sedan Mec.,Dourado
NAR-9591,Boxer 2.3 Minibus 15/16L TB Diesel.,Verde
MRD-0139,Picape BG-Truck CD Turbo Diesel,Verde
NAL-6496,Idea ESSENCE SUBLIME Dual.1.6 Flex16V 5p,Marrom
JTB-4819,Buggy  Walk Sport 1.6 8V 58cv,Laranja
MOL-8277,Stark 2.3 4WD 127cv TDI Diesel 3p,Laranja
NDF-3836,Freelander2 I6 S Sport 3.2 232cv Aut. 5p,Azul
MOM-8023,Way 1.8 Total Flex 8V Mec.,Cinza
LQG-9193,TT Roadster 1.8 TB QUATTRO 225cv (Conv.),Preto
GYD-2827,Gran Voyager LE 2.5,Azul
KSJ-9875,Towner Furg,Vermelho
HEO-8257,T-4 DESERT STORM 4x4 3.0 TB Int Diesel,Preto
MNO-7194,HR-V EX 1.8 Flexone 16V 5p Aut.,Prata
ADN-8022,VOYAGE Comfortline 1.0 T.Flex 12V 4p,Amarelo
MMO-9799,SCORPIO GLX SUV 2.6 TB Diesel CRDe 4WD,Marrom
HYK-7933,Rexton II 3.2 V6 24V 220cv Aut.,Preto
JFZ-8605,CL-244 2.8 132cv 4x4 TB Int. Diesel,Bege
MQY-6031,Charade Sedan 1.3i 16V,Preto
HZN-9115,MG6 1.8 16V Turbo 170cv Aut.,Preto
HPG-8326,fortwo passion cabrio 1.0 62kw/Tritop,Dourado
MZT-2776,Quattroporte Automatica 4.2 32V 400cv,Vermelho
IAD-2103,Accord Sed,Laranja
ABV-1000,Esprit S-4 2.2 16V,Dourado
HZM-2121,Buggy 2000W 1.6 8V,Preto
KUQ-0110,Stark 2.3 4WD 127cv TDI Diesel 3p,Amarelo
LWN-8696,F-Pace 3.0 S 380cv Aut.,Dourado
IAO-1085,Gran Voyager LE 2.5,Branco
HZS-0445,Tiggo 2.0 16V Aut. 5p,Bege
BEZ-4215,Charade Sd 1.5/DLX 1.3,Azul
JWA-9558,Towner Jr. Pick-up Ba,Laranja
HZZ-8698,Cordoba SXE 1.8 / GLX 1.8 4p,Prata
MXU-7124,Clarus GLX 2.0 16V Mec,Azul
MNP-8480,Hummer Wagon 6.5 4x4 Diesel TB,Laranja
MXV-9650,GC2 1.0 12V 68cv 5p,Prata
MSO-7495,HOVER CUV 2.4 16V 5p Mec.,Amarelo
